Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201802,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Express,Passenger,271,0.123
201802,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,42541,19.297
201802,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Cargo,Passenger,269,0.122
201802,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Cargo,Passenger,8449,3.832
201802,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Express,Passenger,389,0.176
201802,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,27541,12.493
201802,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Cargo,Passenger,2093297,949.52
201802,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Express,Passenger,90,0.041
201802,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Mail,Passenger,221515,100.479
201802,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Cargo,Passenger,1183618,536.889
201802,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Express,Passenger,898,0.407
201802,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Mail,Passenger,134287,60.913
201802,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,36442,16.53
201802,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Express,Passenger,786,0.357
201802,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Cargo,Passenger,18695,8.48
201802,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Express,Passenger,61,0.028
201802,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Mail,Passenger,10525,4.774
201802,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Cargo,Passenger,398010,180.537
201802,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Express,Passenger,11451,5.194
201802,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Cargo,Passenger,191988,87.086
201802,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Express,Passenger,2650,1.202
201802,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Mail,Passenger,29491,13.377
201802,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,1014138,460.013
201802,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,1092232,495.436
201802,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Cargo,Passenger,18642,8.456
201802,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Cargo,Passenger,13,0.006
201803,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Deplaned,Cargo,Passenger,238610,108.233
201803,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Enplaned,Cargo,Passenger,231275,104.906
201803,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,109424,49.635
201803,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,11171,5.067
201803,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,27695,12.562
201803,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,195995,88.903
201803,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,36127,16.387
201803,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,482257,218.752
201803,Air China,CA,Air China,CA,International,Asia,Deplaned,Mail,Passenger,235936,107.021
201803,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,477123,216.423
201803,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,824943,374.194
201803,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,16981,7.703
201803,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,554535,251.537
201803,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,27829,12.623
201803,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Express,Passenger,356576,161.743
201803,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Mail,Passenger,23960,10.868
201803,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Express,Passenger,228963,103.858
201803,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,630906,286.179
201803,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,183,0.083
201803,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,452986,205.474
201803,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,26435,11.991
201803,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Cargo,Passenger,3709,1.682
201803,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Cargo,Passenger,1932,0.876
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,128093,58.103
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,801,0.363
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,38314,17.379
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,104448,47.378
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,1722,0.781
201803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,15802,7.168
201803,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Mail,Passenger,41892,19.002
201803,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,978268,443.742
201803,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,276956,125.627
201803,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,617276,279.996
201803,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,248990,112.942
201803,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,358591,162.657
201803,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,545450,247.416
201803,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,819503,371.727
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,805723,365.476
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,372855,169.127
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,6979,3.166
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,91323,41.424
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,1689700,766.448
201803,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,251035,113.869
201803,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Deplaned,Cargo,Freighter,6524912,2959.7
201803,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Enplaned,Cargo,Freighter,3795518,1721.647
201803,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,International,Asia,Enplaned,Cargo,Freighter,186299,84.505
201803,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,862829,391.379
201803,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,50224,22.782
201803,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,982329,445.584
201803,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,53805,24.406
201803,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Deplaned,Cargo,Passenger,2034,0.923
201803,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Enplaned,Cargo,Passenger,2442,1.108
201803,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,1385264,628.356
201803,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,581204,263.634
201803,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,378895,171.867
201803,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,1302116,590.64
201803,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,381837,173.201
201803,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,299667,135.929
201803,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,222647,100.993
201803,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,1758275,797.554
201803,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,251514,114.087
201803,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,39822,18.063
201803,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Cargo,Passenger,549837,249.406
201803,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Cargo,Passenger,297190,134.805
201803,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Cargo,Passenger,418486,189.825
201803,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Mail,Passenger,234014,106.149
201803,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Cargo,Passenger,263364,119.462
201803,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,164,0.074
201803,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,610,0.277
201803,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,1321,0.599
201803,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,803044,364.261
201803,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,918280,416.532
201803,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,584999,265.356
201803,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,1246221,565.286
201803,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,2194615,995.477
201803,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,2266,1.028
201803,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Mail,Passenger,191237,86.745
201803,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,1044618,473.839
201803,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,6189,2.807
201803,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Cargo,Passenger,344421,156.229
201803,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,705335,319.94
201803,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,2649723,1201.914
201803,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,2869803,1301.743
201803,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,357741,162.271
201803,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,854184,387.458
201803,Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Deplaned,Cargo,Passenger,2881,1.307
201803,Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Enplaned,Cargo,Passenger,798,0.362
201803,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,23,0.01
201803,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,147,0.067
201803,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,2092,0.949
201803,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,21,0.01
201803,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,5417,2.457
201803,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,903733,409.933
201803,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,220800,100.155
201803,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,605686,274.739
201803,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,70287,31.882
201803,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,705203,319.88
201803,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,25104,11.387
201803,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,554993,251.745
201803,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,23325,10.58
201803,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,93192,42.272
201803,Kalitta Air,K4,Kalitta Air,K4,International,Asia,Deplaned,Cargo,Freighter,279782,126.909
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,650167,294.916
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,1309440,593.962
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,12771,5.793
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,77246,35.039
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,195330,88.602
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,2029031,920.368
201803,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,496538,225.23
201803,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,733561,332.743
201803,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,54537,24.738
201803,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,891157,404.229
